GTD ID,DATE,COUNTRY,CITY,PERPETRATOR 1,GUNCERTAIN 1,PERPETRATOR 2,GUNCERTAIN 2,PERPETRATOR 3,GUNCERTAIN 3,FATALITIES,INJURED,TARGET TYPE 1,TARGET TYPE 2,TARGET TYPE 3,REGION,ATTACK TYPE 1,ATTACK TYPE 2,ATTACK TYPE 3,WEAPON TYPE 1,WEAPON TYPE 2,WEAPON TYPE 3,WEAPON TYPE 4,
2.01411E+11,11/4/14,United States,Coachella,Unknown,0,,,,,0,0,Religious Figures/Institutions,,,North America,Armed Assault,,,Firearms,,,,
2.01411E+11,11/3/14,Australia,Bankstown,Unknown,0,,,,,0,1,Religious Figures/Institutions,,,Australasia & Oceania,Armed Assault,,,Firearms,,,,
2.01409E+11,9/12/14,United States,Blooming Grove,Anti-Government extremists,0,,,,,1,1,Police,,,North America,Armed Assault,,,Firearms,,,,
2.01408E+11,8/11/14,United States,Corinth,Sovereign Citizen,1,,,,,0,0,Police,Other,Private Citizens & Property,North America,Bombing/Explosion,Armed Assault,,Explosives/Bombs/Dynamite,Firearms,,,
2.01406E+11,6/25/14,United States,West Orange,Jihadi-inspired extremists,0,,,,,1,0,Private Citizens & Property,,,North America,Armed Assault,,,Firearms,,,,
2.01406E+11,6/12/14,France,Bastia,Unknown,0,,,,,0,0,Police,,,Western Europe,Facility/Infrastructure Attack,,,Firearms,,,,
2.01406E+11,6/8/14,United States,Las Vegas,Anti-Government extremists,0,,,,,5,0,Police,Business,,North America,Armed Assault,,,Firearms,,,,
2.01406E+11,6/6/14,United States,Cumming,Sovereign Citizen,0,,,,,1,1,Government (General),,,North America,Bombing/Explosion,Armed Assault,,Explosives/Bombs/Dynamite,Firearms,Firearms,,
2.01406E+11,6/1/14,United States,Seattle,Jihadi-inspired extremists,0,,,,,2,0,Private Citizens & Property,,,North America,Armed Assault,,,Firearms,,,,
2.01404E+11,4/27/14,United States,Seattle,Jihadi-inspired extremists,0,,,,,1,0,Private Citizens & Property,,,North America,Armed Assault,,,Firearms,,,,
2.01404E+11,4/13/14,United States,Overland Park,White extremists,0,,,,,1,0,Religious Figures/Institutions,,,North America,Armed Assault,,,Firearms,Firearms,,,
2.01404E+11,4/13/14,United States,Overland Park,White extremists,0,,,,,2,0,Religious Figures/Institutions,,,North America,Armed Assault,,,Firearms,Firearms,,,
2.01403E+11,3/25/14,United States,Orland Park,Unknown,0,,,,,0,0,Religious Figures/Institutions,,,North America,Facility/Infrastructure Attack,,,Firearms,,,,
2.01403E+11,3/18/14,United States,Hattiesburg,Unknown,0,,,,,0,0,Religious Figures/Institutions,,,North America,Armed Assault,,,Firearms,,,,
2.01311E+11,11/18/13,France,Paris,Unknown,0,,,,,0,1,Journalists & Media,,,Western Europe,Armed Assault,,,Firearms,,,,
2.01311E+11,11/1/13,United States,Los Angeles,Anti-Government extremists,0,,,,,1,4,Airports and Aircraft,Government (General),,North America,Armed Assault,,,Firearms,Firearms,,,
2.01304E+11,4/18/13,United States,Cambridge,Muslim extremists,0,,,,,1,0,Educational Institution,,,North America,Armed Assault,,,Firearms,,,,
2.01304E+11,4/16/13,United States,San Jose,Unknown,0,,,,,0,0,Utilities,,,North America,Facility/Infrastructure Attack,,,Firearms,Sabotage Equipment,,,
2.01302E+11,2/7/13,United States,Corona,Anti-Police extremists,0,,,,,1,1,Police,,,North America,Armed Assault,,,Firearms,,,,
2.01209E+11,9/30/12,United States,Perrysburg,Anti-Muslim extremists,0,,,,,0,0,Religious Figures/Institutions,,,North America,Facility/Infrastructure Attack,,,Firearms,Incendiary,,,
2.01208E+11,8/15/12,United States,Washington,Pro-LGBT Rights extremists,0,,,,,0,1,NGO,,,North America,Armed Assault,,,Firearms,,,,
2.01208E+11,8/5/12,United States,Oak Creek,White extremists,0,,,,,7,4,Religious Figures/Institutions,,,North America,Armed Assault,,,Firearms,,,,
2.01206E+11,6/19/12,France,Toulouse,Jihadi-inspired extremists,0,,,,,0,1,Business,,,Western Europe,Hostage Taking (Barricade Incident),,,Firearms,,,,
2.01203E+11,3/19/12,France,Toulouse,Muslim extremists,0,,,,,4,0,Educational Institution,,,Western Europe,Armed Assault,,,Firearms,,,,
2.01203E+11,3/15/12,France,Montauban,Muslim extremists,0,,,,,3,0,Military,,,Western Europe,Armed Assault,,,Firearms,,,,
2.01203E+11,3/11/12,France,Toulouse,Muslim extremists,0,,,,,1,0,Military,,,Western Europe,Armed Assault,,,Firearms,,,,
2.01111E+11,11/11/11,United States,Washington,Anti-Government extremists,0,,,,,0,0,Government (General),,,North America,Armed Assault,,,Firearms,,,,
2.01104E+11,4/9/11,France,Creuse district,Basque Fatherland and Freedom (ETA),1,,,,,0,1,Police,,,Western Europe,Armed Assault,,,Firearms,,,,
2.01011E+11,2010-11-00,United States,Woodbridge,Jihadi-inspired extremists,0,,,,,0,0,Military,,,North America,Facility/Infrastructure Attack,,,Firearms,,,,
2.0101E+11,10/25/10,United States,Chantilly,Jihadi-inspired extremists,0,,,,,0,0,Military,,,North America,Facility/Infrastructure Attack,,,Firearms,,,,
2.0101E+11,10/19/10,United States,Arlington,Jihadi-inspired extremists,0,,,,,0,0,Government (General),,,North America,Facility/Infrastructure Attack,,,Firearms,,,,
2.0101E+11,2010-10-00,United States,Triangle,Jihadi-inspired extremists,0,,,,,0,0,NGO,,,North America,Facility/Infrastructure Attack,,,Firearms,,,,
2.0101E+11,2010-10-00,United States,Triangle,Jihadi-inspired extremists,0,,,,,0,0,NGO,,,North America,Facility/Infrastructure Attack,,,Firearms,,,,
